TEMPO;PROCESSO;PAGINA;ACAO
1;1;0;ENTROU
1;1;1;ENTROU
1;1;2;ENTROU
1;1;3;ENTROU
1;1;4;ENTROU
1;1;5;ENTROU
1;1;6;ENTROU
2;2;7;ENTROU
2;2;8;ENTROU
2;2;9;ENTROU
2;2;10;ENTROU
2;2;11;ENTROU
2;2;12;ENTROU
2;2;13;ENTROU
2;3;14;ENTROU
2;3;15;ENTROU
2;3;16;ENTROU
2;3;17;ENTROU
2;3;18;ENTROU
2;3;19;ENTROU
2;3;20;ENTROU
4;2;7;SAIU
4;2;8;SAIU
4;2;9;SAIU
4;2;10;SAIU
4;2;11;SAIU
4;2;12;SAIU
4;2;13;SAIU
4;4;7;ENTROU
4;4;8;ENTROU
4;4;9;ENTROU
4;4;10;ENTROU
4;4;11;ENTROU
4;4;12;ENTROU
4;4;13;ENTROU
4;4;7;SAIU
4;4;8;SAIU
4;4;9;SAIU
4;4;10;SAIU
4;4;11;SAIU
4;4;12;SAIU
4;4;13;SAIU
5;3;14;SAIU
5;3;15;SAIU
5;3;16;SAIU
5;3;17;SAIU
5;3;18;SAIU
5;3;19;SAIU
5;3;20;SAIU
5;5;7;ENTROU
5;5;8;ENTROU
5;5;9;ENTROU
5;5;10;ENTROU
5;5;11;ENTROU
5;5;12;ENTROU
5;5;13;ENTROU
5;5;14;ENTROU
6;5;7;SAIU
6;5;8;SAIU
6;5;9;SAIU
6;5;10;SAIU
6;5;11;SAIU
6;5;12;SAIU
6;5;13;SAIU
6;5;14;SAIU
6;6;7;ENTROU
6;6;8;ENTROU
6;6;9;ENTROU
6;6;10;ENTROU
6;6;11;ENTROU
6;6;12;ENTROU
6;6;13;ENTROU
6;6;14;ENTROU
7;7;15;ENTROU
7;7;16;ENTROU
7;7;17;ENTROU
7;7;18;ENTROU
7;7;19;ENTROU
7;7;20;ENTROU
7;7;21;ENTROU
7;7;22;ENTROU
7;7;23;ENTROU
7;7;24;ENTROU
7;7;25;ENTROU
7;7;26;ENTROU
7;7;27;ENTROU
10;1;0;SAIU
10;1;1;SAIU
10;1;2;SAIU
10;1;3;SAIU
10;1;4;SAIU
10;1;5;SAIU
10;1;6;SAIU
10;6;7;SAIU
10;6;8;SAIU
10;6;9;SAIU
10;6;10;SAIU
10;6;11;SAIU
10;6;12;SAIU
10;6;13;SAIU
10;6;14;SAIU
10;8;0;ENTROU
10;8;1;ENTROU
10;8;2;ENTROU
10;8;3;ENTROU
10;8;4;ENTROU
10;8;5;ENTROU
10;8;6;ENTROU
10;8;7;ENTROU
10;8;8;ENTROU
10;8;9;ENTROU
10;8;10;ENTROU
10;8;11;ENTROU
10;8;12;ENTROU
11;8;0;SAIU
11;8;1;SAIU
11;8;2;SAIU
11;8;3;SAIU
11;8;4;SAIU
11;8;5;SAIU
11;8;6;SAIU
11;8;7;SAIU
11;8;8;SAIU
11;8;9;SAIU
11;8;10;SAIU
11;8;11;SAIU
11;8;12;SAIU
11;9;0;ENTROU
11;9;1;ENTROU
11;9;2;ENTROU
11;9;3;ENTROU
11;9;4;ENTROU
11;9;5;ENTROU
11;9;6;ENTROU
11;9;7;ENTROU
11;9;8;ENTROU
11;9;9;ENTROU
11;9;10;ENTROU
11;9;11;ENTROU
11;9;12;ENTROU
13;9;0;SAIU
13;9;1;SAIU
13;9;2;SAIU
13;9;3;SAIU
13;9;4;SAIU
13;9;5;SAIU
13;9;6;SAIU
13;9;7;SAIU
13;9;8;SAIU
13;9;9;SAIU
13;9;10;SAIU
13;9;11;SAIU
13;9;12;SAIU
13;10;0;ENTROU
13;10;1;ENTROU
13;10;2;ENTROU
13;10;3;ENTROU
13;10;4;ENTROU
13;10;5;ENTROU
13;10;6;ENTROU
13;10;7;ENTROU
13;10;8;ENTROU
13;10;9;ENTROU
13;10;10;ENTROU
13;10;11;ENTROU
13;10;12;ENTROU
13;10;13;ENTROU
14;11;14;ENTROU
14;11;28;ENTROU
14;11;29;ENTROU
20;10;0;SAIU
20;10;1;SAIU
20;10;2;SAIU
20;10;3;SAIU
20;10;4;SAIU
20;10;5;SAIU
20;10;6;SAIU
20;10;7;SAIU
20;10;8;SAIU
20;10;9;SAIU
20;10;10;SAIU
20;10;11;SAIU
20;10;12;SAIU
20;10;13;SAIU
20;11;14;SAIU
20;11;28;SAIU
20;11;29;SAIU
20;12;0;ENTROU
20;12;1;ENTROU
20;12;2;ENTROU
20;12;3;ENTROU
20;12;4;ENTROU
20;12;5;ENTROU
20;13;6;ENTROU
20;13;7;ENTROU
20;13;8;ENTROU
20;14;9;ENTROU
20;14;10;ENTROU
20;14;11;ENTROU
20;15;12;ENTROU
20;15;13;ENTROU
20;15;14;ENTROU
20;15;28;ENTROU
24;14;9;SAIU
24;14;10;SAIU
24;14;11;SAIU
24;15;12;SAIU
24;15;13;SAIU
24;15;14;SAIU
24;15;28;SAIU
24;16;9;ENTROU
24;16;10;ENTROU
24;16;11;ENTROU
24;16;12;ENTROU
24;16;13;ENTROU
24;16;14;ENTROU
25;12;0;SAIU
25;12;1;SAIU
25;12;2;SAIU
25;12;3;SAIU
25;12;4;SAIU
25;12;5;SAIU
25;13;6;SAIU
25;13;7;SAIU
25;13;8;SAIU
25;17;0;ENTROU
25;17;1;ENTROU
25;17;2;ENTROU
25;17;3;ENTROU
25;17;4;ENTROU
25;17;5;ENTROU
28;16;9;SAIU
28;16;10;SAIU
28;16;11;SAIU
28;16;12;SAIU
28;16;13;SAIU
28;16;14;SAIU
30;17;0;SAIU
30;17;1;SAIU
30;17;2;SAIU
30;17;3;SAIU
30;17;4;SAIU
30;17;5;SAIU
30;18;0;ENTROU
30;18;1;ENTROU
30;18;2;ENTROU
30;18;3;ENTROU
30;18;4;ENTROU
30;18;5;ENTROU
30;18;6;ENTROU
30;18;7;ENTROU
30;18;8;ENTROU
30;18;9;ENTROU
30;18;10;ENTROU
30;18;11;ENTROU
30;18;12;ENTROU
30;18;13;ENTROU
30;18;14;ENTROU
30;18;28;ENTROU
30;18;29;ENTROU
30;18;30;ENTROU
30;18;31;ENTROU
36;18;0;SAIU
36;18;1;SAIU
36;18;2;SAIU
36;18;3;SAIU
36;18;4;SAIU
36;18;5;SAIU
36;18;6;SAIU
36;18;7;SAIU
36;18;8;SAIU
36;18;9;SAIU
36;18;10;SAIU
36;18;11;SAIU
36;18;12;SAIU
36;18;13;SAIU
36;18;14;SAIU
36;18;28;SAIU
36;18;29;SAIU
36;18;30;SAIU
36;18;31;SAIU
36;19;0;ENTROU
36;19;1;ENTROU
36;19;2;ENTROU
36;19;3;ENTROU
36;19;4;ENTROU
36;19;5;ENTROU
36;19;6;ENTROU
36;19;7;ENTROU
36;19;8;ENTROU
36;19;9;ENTROU
42;19;0;SAIU
42;19;1;SAIU
42;19;2;SAIU
42;19;3;SAIU
42;19;4;SAIU
42;19;5;SAIU
42;19;6;SAIU
42;19;7;SAIU
42;19;8;SAIU
42;19;9;SAIU
42;20;0;ENTROU
42;20;1;ENTROU
42;20;2;ENTROU
42;20;3;ENTROU
