TEMPO;PROCESSO;PAGINA;ACAO
1;1;0;ENTROU
2;2;1;ENTROU
2;3;2;ENTROU
4;2;1;SAIU
4;4;1;ENTROU
4;4;1;SAIU
5;3;2;SAIU
5;5;1;ENTROU
6;5;1;SAIU
6;6;1;ENTROU
7;7;2;ENTROU
7;7;3;ENTROU
10;1;0;SAIU
10;6;1;SAIU
10;8;0;ENTROU
10;8;1;ENTROU
11;8;0;SAIU
11;8;1;SAIU
11;9;0;ENTROU
11;9;1;ENTROU
13;9;0;SAIU
13;9;1;SAIU
13;10;0;ENTROU
13;10;1;ENTROU
20;10;0;SAIU
20;10;1;SAIU
20;11;0;ENTROU
20;12;1;ENTROU
25;12;1;SAIU
25;13;1;ENTROU
26;11;0;SAIU
26;14;0;ENTROU
30;13;1;SAIU
30;14;0;SAIU
30;15;0;ENTROU
30;16;1;ENTROU
34;15;0;SAIU
34;16;1;SAIU
34;17;0;ENTROU
39;17;0;SAIU
60;7;2;SAIU
60;7;3;SAIU
60;18;0;ENTROU
60;18;1;ENTROU
60;18;2;ENTROU
66;18;0;SAIU
66;18;1;SAIU
66;18;2;SAIU
66;19;0;ENTROU
66;19;1;ENTROU
66;20;2;ENTROU
66;20;3;ENTROU
72;19;0;SAIU
72;19;1;SAIU
72;20;2;SAIU
72;20;3;SAIU
72;21;0;ENTROU
72;21;1;ENTROU
72;22;2;ENTROU
72;23;3;ENTROU
77;21;0;SAIU
77;21;1;SAIU
77;24;0;ENTROU
77;25;1;ENTROU
78;22;2;SAIU
78;24;0;SAIU
78;25;1;SAIU
78;26;0;ENTROU
78;27;1;ENTROU
79;26;0;SAIU
79;27;1;SAIU
79;28;0;ENTROU
79;28;1;ENTROU
81;28;0;SAIU
81;28;1;SAIU
81;29;0;ENTROU
81;29;1;ENTROU
82;23;3;SAIU
82;30;2;ENTROU
82;30;3;ENTROU
84;29;0;SAIU
84;29;1;SAIU
84;31;0;ENTROU
84;32;1;ENTROU
86;30;2;SAIU
86;30;3;SAIU
86;33;2;ENTROU
89;31;0;SAIU
89;34;0;ENTROU
89;34;3;ENTROU
90;32;1;SAIU
90;35;1;ENTROU
92;33;2;SAIU
95;34;0;SAIU
95;34;3;SAIU
95;36;0;ENTROU
95;36;2;ENTROU
96;35;1;SAIU
96;37;1;ENTROU
96;37;3;ENTROU
101;36;0;SAIU
101;36;2;SAIU
102;37;1;SAIU
102;37;3;SAIU
102;38;0;ENTROU
102;38;1;ENTROU
102;38;2;ENTROU
102;39;3;ENTROU
110;39;3;SAIU
110;40;3;ENTROU
111;38;0;SAIU
111;38;1;SAIU
111;38;2;SAIU
111;41;0;ENTROU
111;41;1;ENTROU
111;41;2;ENTROU
118;40;3;SAIU
118;41;0;SAIU
118;41;1;SAIU
118;41;2;SAIU
118;42;0;ENTROU
118;42;1;ENTROU
118;43;2;ENTROU
118;43;2;SAIU
119;44;2;ENTROU
119;44;3;ENTROU
124;42;0;SAIU
124;42;1;SAIU
124;45;0;ENTROU
124;46;1;ENTROU
144;44;2;SAIU
144;44;3;SAIU
144;47;2;ENTROU
144;48;3;ENTROU
150;45;0;SAIU
150;49;0;ENTROU
151;46;1;SAIU
151;50;1;ENTROU
163;50;1;SAIU
173;47;2;SAIU
179;48;3;SAIU
184;49;0;SAIU
