TEMPO;PROCESSO;PAGINA;ACAO
1;1;0;ENTROU
2;2;1;ENTROU
2;3;2;ENTROU
4;2;1;SAIU
4;4;1;ENTROU
4;4;1;SAIU
5;3;2;SAIU
5;5;1;ENTROU
6;5;1;SAIU
6;6;1;ENTROU
7;7;2;ENTROU
7;7;3;ENTROU
7;8;4;ENTROU
7;8;5;ENTROU
7;9;6;ENTROU
7;9;7;ENTROU
8;8;4;SAIU
8;8;5;SAIU
8;10;4;ENTROU
8;10;5;ENTROU
9;9;6;SAIU
9;9;7;SAIU
10;1;0;SAIU
10;6;1;SAIU
14;11;0;ENTROU
15;10;4;SAIU
15;10;5;SAIU
15;12;1;ENTROU
15;13;4;ENTROU
16;14;5;ENTROU
16;15;6;ENTROU
16;16;7;ENTROU
16;17;8;ENTROU
16;18;9;ENTROU
16;18;10;ENTROU
16;18;11;ENTROU
17;19;12;ENTROU
17;19;13;ENTROU
18;20;14;ENTROU
18;20;15;ENTROU
20;11;0;SAIU
20;12;1;SAIU
20;13;4;SAIU
20;14;5;SAIU
20;15;6;SAIU
20;16;7;SAIU
20;21;0;ENTROU
20;21;1;ENTROU
20;22;4;ENTROU
20;23;5;ENTROU
21;17;8;SAIU
22;18;9;SAIU
22;18;10;SAIU
22;18;11;SAIU
23;19;12;SAIU
23;19;13;SAIU
23;24;6;ENTROU
24;20;14;SAIU
24;20;15;SAIU
24;24;6;SAIU
24;25;6;ENTROU
25;21;0;SAIU
25;21;1;SAIU
25;25;6;SAIU
26;22;4;SAIU
26;26;0;ENTROU
27;26;0;SAIU
30;23;5;SAIU
30;27;0;ENTROU
30;28;1;ENTROU
30;28;4;ENTROU
30;29;5;ENTROU
30;29;6;ENTROU
30;30;7;ENTROU
30;30;8;ENTROU
30;31;9;ENTROU
30;32;10;ENTROU
31;27;0;SAIU
31;33;0;ENTROU
32;28;1;SAIU
32;28;4;SAIU
32;34;1;ENTROU
32;34;4;ENTROU
33;29;5;SAIU
33;29;6;SAIU
33;35;5;ENTROU
34;30;7;SAIU
34;30;8;SAIU
34;36;6;ENTROU
34;36;7;ENTROU
35;31;9;SAIU
35;37;8;ENTROU
35;37;9;ENTROU
36;32;10;SAIU
36;38;10;ENTROU
36;38;11;ENTROU
36;38;12;ENTROU
37;33;0;SAIU
37;39;0;ENTROU
37;40;13;ENTROU
38;34;1;SAIU
38;34;4;SAIU
38;41;1;ENTROU
38;41;4;ENTROU
38;41;14;ENTROU
39;35;5;SAIU
39;42;5;ENTROU
39;42;15;ENTROU
40;36;6;SAIU
40;36;7;SAIU
41;37;8;SAIU
41;37;9;SAIU
45;38;10;SAIU
45;38;11;SAIU
45;38;12;SAIU
45;39;0;SAIU
45;40;13;SAIU
45;41;1;SAIU
45;41;4;SAIU
45;41;14;SAIU
45;42;5;SAIU
45;42;15;SAIU
45;43;0;ENTROU
45;43;0;SAIU
46;44;0;ENTROU
46;44;1;ENTROU
46;45;4;ENTROU
46;46;5;ENTROU
46;47;6;ENTROU
46;48;7;ENTROU
47;49;8;ENTROU
48;50;9;ENTROU
60;7;2;SAIU
60;7;3;SAIU
60;50;9;SAIU
71;44;0;SAIU
71;44;1;SAIU
72;45;4;SAIU
73;46;5;SAIU
75;47;6;SAIU
81;48;7;SAIU
81;49;8;SAIU
